Spanish,Polish
casar,ożenić
llamen,dzwonić
biblia,Biblia
reporte,raport
moda,moda
casada,żonaty
reacción,reakcja
falla,awaria
castigo,kara
fácilmente,łatwo
caza,polowanie
annie,Annie
magnífico,wspaniały
decidí,zdecydowałem
camina,chodzić
superficie,powierzchnia
procedimiento,procedura
condición,stan
asalto,napaść
virgen,dziewica
verle,Zobacz go
conocimos,Spotkaliśmy się
quitar,usunąć
donna,Donna
tratas,Traktujesz
noble,szlachetny
laden,Obciążony
hierba,trawa
excelencia,doskonałość
asco,niesmak
white,Biały
título,kwalifikacja
regresaré,wrócę
ejercicio,ćwiczenia
pasaporte,paszport
extraños,nieznajomi
ciento,sto
afortunado,mający szczęście
sacó,płaszcz
irán,Iran
sacerdote,kapłan
pedirle,Proś o niego
impuestos,podatki
crisis,kryzys
aventura,przygoda
to,Do
puestos,Posty
pánico,panika
oz,Oz
llames,Ty dzwonisz
ladrones,złodzieje
enseñó,nauczał
logramos,Osiągnęliśmy
estuvieron,Byli
últimas,Najnowszy
página,strona
metro,metr
grace,Łaska
enterprise,Przedsiębiorstwo
alla,Tam
pudieron,mógł
mostrar,pokazywać
escribe,pisze
ventaja,korzyść
enamorada,zakochany
boston,Boston
usr,USR
gorda,gruba kobieta
vendrán,Oni przyjdą
paren,Paren
xena,Xena
piedras,Kamienie
pesado,ciężki
despertar,budzić się
warren,Królikarnia
pierdes,Przegrałeś
jesucristo,Jezus Chrystus
damos,dajemy
treinta,trzydzieści
recuerde,Pamiętać
earl,Hrabia
capacidad,umiejętność
soportar,niedźwiedź
senado,senat
grant,DOTACJA
decidió,On zdecydował
prepárense,Przygotowywać
asusta,przerażenia
aquiles,Achilles
aquello,To
and,I
aguantar,tolerować
cohen,Cohen
aprendí,Dowiedziałem się
tenéis,ty masz
parezca,Wydaje się
alegría,szczęście
territorio,terytorium
física,fizyczny
escape,wydechowy
tomes,Brać
sandy,Piaszczysty
excusa,wymówka
estudios,studia
arthur,Arthur
shaw,Shaw
septiembre,Wrzesień
personaje,postać
fábrica,fabryka
elegido,Wybraniec
cole,szkoła
tanque,czołg
salta,Salta
hablaste,Przemówiłeś
conferencia,konferencja
compromiso,zobowiązanie
ayudaré,Pomogę
salieron,Wyszli
rusos,Rosjanie
parezco,wyglądam jak
llevando,ma na sobie
exterior,za granicą
punta,wskazówka
ponerse,nałożyć
pasen,przechodzić
puerto,Port
decírtelo,Powiedz ci
caro,drogi
asombroso,niesamowity
pasara,to się stanie
matarán,Zabiją
maleta,walizka
competencia,kompetencja
canciones,piosenki
miranda,Miranda
cinturón,pasek
saint,Święty
papas,ziemniaki
marco,rama
destrucción,zniszczenie
terry,Terry
paraíso,raj
meta,bramka
alternativa,alternatywny
socios,wzmacniacz
alas,Na
w,W
ocasión,szansa
casarme,wyjść za mąż
salsa,zanurzać
romano,rzymski
prisioneros,Więźniowie
fogg,MGŁA
encantan,Miłość
encantadora,śliczny
comercial,handlowy
primavera,wiosna
metió,umieścić
luther,Luter
johnson,Johnson
volvemos,Wracamy
mandar,wysłać
luce,Luce
sagrado,poświęcony
nacido,urodzić się
fabuloso,wspaniały
echo,wyrzucił
desaparecer,zniknąć
potencia,moc
adn,DNA
traiga,Przynieść
permítame,pozwól mi
mayores,większy
regalos,prezenty
pusiste,Położyłeś
peligrosa,niebezpieczny
militares,wojskowy
jodida,pierdolony
coincidencia,zbieg okoliczności
bandera,flaga
adivinar,zgadywać
tubo,rura
partida,wyjazd
opciones,opcje
llamaron,Oni dzwonili
hombro,ramię
vampiros,Wampiry
sabían,Oni wiedzieli
recibió,otrzymane
marty,Marty
jugadores,gracze
celebrar,świętować
armario,szafka
tetas,cycki
paliza,bicie
sabor,smak
míralo,Patrzeć
lata,Móc
héroes,bohaterowie
aigo,Aigo
serpiente,wąż
escribí,napisałem
comité,komisja
bendiga,Błogosławić
terminé,skończyłem
oyó,albo ja
imaginación,wyobraźnia
funcionó,zadziałało
bello,Piękny
hígado,wątroba
cierre,zamknięcie
cabina,kabina
queríamos,Chcieliśmy
pasas,rodzynki
mantente,Zostawać
japón,Japonia
deseos,życzenia
cuéntame,Powiedz mi
rastro,namierzać
compró,kupił
anterior,dawny
acero,stal
desnudo,nagi
comisario,komisarz
catherine,Catherine
refuerzos,wzmocnienie
preparar,przygotowywać
perdidos,Zaginiony
pagaré,zapłacę
miami,Miami
huevo,jajko
entrando,wstępowanie
armada,marynarka wojenna
trate,Traktować
supo,wiedział
bromeas,Radości
verdaderamente,naprawdę
napoleón,Napoleon
miro,patrzę
límite,limit
esperemos,Miejmy nadzieję
sacado,wyjęty
diamante,Diament
secuestro,porwanie
casco,kask
ayudó,pomógł
nene,Dziecko
marcas,marki
francisco,Francisco
pudieras,Mógłbyś
poca,mały
jugo,sok
heridos,ranny
congreso,kongres
cementerio,cmentarz
prostituta,prostytutka
desaparece,znika
consecuencias,konsekwencje
terreno,grunt
salvado,uratowany
mueren,Oni umierają
igualmente,podobnie
ganamos,wygraliśmy
circunstancias,okoliczności
trabajamos,pracujemy
marie,Marie
jill,Jill
amén,Amen
katie,Katie
funcionando,pracujący
evan,Evan
personalidad,osobowość
muro,Ściana
contestar,odpowiedzieć
razon,powód
peores,Najgorszy
particular,konkretny
llévame,podwieź mnie
gimnasio,siłownia
garfield,Garfield
emocionante,ekscytujący
desgracia,nieszczęście
científico,naukowiec
buscado,poszukiwany
buddy,Kumpel
terapia,terapia
prepara,przygotowywać
phil,Phil
patrulla,patrol
globo,balon
despejado,jasne
creado,Utworzony
aprendido,nauczyli
nací,urodziłem się
lanning,Lanning
embajador,ambasador
barcos,łodzie
posiblemente,prawdopodobnie
malvado,podły
dormitorio,sypialnia
despacho,załatwić
desagradable,obrzydliwe
viniendo,nadchodzący
riddick,Riddick
recibo,paragon
nuclear,jądrowy
mensajes,wiadomości
mantengan,Trzymać
ultimo,ostatni
autoridades,władze
quedes,pozostać
pasaron,Oni zdali
gano,wygrał
ayudo,pomógł
aprecio,uznanie
sentimiento,uczucie
popular,popularny
extrañas,zagraniczny
detenerlo,przestań
civiles,cywile
tontería,niedogodność
reyes,Królowie
americana,amerykański
vuelven,Wracają
ventanas,okna
tiburón,rekin
seiya,Seiya
peleas,walki
organización,organizacja
jedi,Jedi
ayudarla,Pomóż jej
tuvieras,Miałeś
sally,Wypad
querrás,będziesz chciał
querrá,będzie chciał
kelly,Kelly
infección,infekcja
decente,przyzwoity
logrado,znakomity
jersey,sweter
amar,Miłość
wayne,Wayne
equipos,sprzęt
canta,śpiewa
bebés,pijesz
pozo,Dobrze
india,Indie
esperado,oczekiwany
enseñar,uczyć
darnos,daj nam
brown,brązowy
tomaste,pijesz herbatę
internet,Internet
habilidades,umiejętności
encanto,czar
dispararon,Strzelili
comprendes,Rozumiesz
áfrica,Afryka
adorable,uroczy
rica,pyszne
llegaremos,przyjedziemy
harold,Harold
reales,Prawdziwy
mismas,To samo
medios,głoska bezdźwięczna
marihuana,narkotyk
traidor,zdrajca
martha,Martha
funcione,funkcjonować
clínica,klinika
preferiría,wolałbym
podían,Mogliby
olvidó,zapomniałem
fred,Fred
entramos,Wchodzimy
ejercito,armia
división,dział
sector,sektor
perdedor,nieudacznik
patrón,wzór
encontrará,znajdzie
crema,krem
barry,Barry
planeado,zaplanowany
mantenga,nadążać
juguete,zabawka
edward,Edward
técnica,technika
nacimiento,narodziny
esperaré,poczekam
tim,Tim
termino,termin
matas,Matas
entrado,weszła
destruido,zniszczony
daremos,Damy
circo,cyrk
ascensor,winda
andrew,Andrzej
aca,Tutaj
investigar,zbadać
encuentren,znajdować
archivo,archiwum
salve,Grad
presentar,wprowadzić
logro,osiągnięcie
intentas,Próbujesz
encargaré,zamówię
armado,uzbrojony
apuestas,Zakłady
maggie,Maggie
arrestado,aresztowany
unión,Unia
permanecer,zostawać
muéstrame,Pokaż mi
móvil,mobilny
louise,Louise
juan,Juan
dificil,trudny
casados,żonaty
cañón,Kanion
bruce,Bruce
tribunal,sąd
sepan,Wiedzieć
satélite,satelita
recuerden,Pamiętać
intentaré,Postaram się
falsa,FAŁSZ
coca,Koks
black,Czarny
símbolo,symbol
rocas,Skały
putas,dziwki
pendejo,głupi
mátalo,Mátalo
judío,Żyd
estando,istnienie
subtítulos,Podtytuł
gritando,Krzyczenie
dejemos,Wyjdźmy
científicos,naukowcy
bebiendo,Picie
saque,Na wynos
navorski,Navorski
metal,metal
despedida,pożegnanie
golf,Golf
empiece,Początek
defender,bronić
crecer,rosnąć
rota,złamany
sentimos,Czujemy się
n,N
guerreros,Wojownicy
echa,Echa
comunicación,Komunikacja
probado,wypróbowany
pensarlo,Pomyśl o tym
háblame,Powiedz mi
detenido,aresztowany
sabría,wiedziałby
muertes,zgony
movimientos,Ruchy
prohibido,zabroniony
pájaros,Ptaki
kane,Kane
cargar,nosić
willie,Willie
podíamos,moglibyśmy
junior,junior
imágenes,obrazy
haberse,Posiadać
acusado,oskarżony
peleando,walczący
lealtad,lojalność
considera,rozważa
cazador,myśliwy
buscarlo,Szukaj tego
apaga,wyłącza
objeto,obiekt
sofá,kanapa
personales,osobisty
mac,Prochowiec
homicidio,zabójstwo
electricidad,Elektryczność
advertencia,ostrzeżenie
rumores,Plotki
mentir,kłamstwo
fíjate,ogłoszenie
deuda,dług
celoso,zazdrosny
bicicleta,rower
azules,Niebieski
visitas,Odwiedziny
mejorar,poprawić
escudo,tarcza
cueva,jaskinia
aérea,Antenowy
nathan,Nathan
levantar,wstawać
juguetes,zabawki
ciertamente,z pewnością
bajen,Spadać
aaron,Aaron
you,Ty
temas,Tematy
pedirte,Zapytaj o ciebie
mcdonalds,McDonalds
elegante,elegancki
divorcio,rozwód
depósito,depozyt
concierto,koncert
calla,zamknąć się
transmisión,przenoszenie
mataría,Zabiłbym
flor,kwiat
wyatt,Wyatt
viejas,stary
trabajan,oni pracują
onda,wibracja
saldremos,Wyjdziemy
preguntado,spytał
aliento,oddech
academia,akademia
sonar,marzenie
recibe,odbiera
patio,dziedziniec
función,funkcjonować
conduce,ona prowadzi
pregúntale,Zapytaj ją
palo,stick
internacional,międzynarodowy
hueso,kość
heather,Wrzos
esclavos,niewolnicy
versión,wersja
sacrificio,poświęcenie
judíos,Żydzi
increible,niesamowity
fotografía,Fotografia
delicioso,pyszne
crímenes,przestępstwa
zorra,suka
valle,dolina
llevaremos,Będziemy nosić
lentamente,powoli
encantada,Miło mi cię poznać
arreglo,układ
volvería,Wrócę
logró,osiągnięcie
romántico,Romantyczny
preocuparte,martwić się
olvido,zapomniałem
fascinante,fascynujący
cuadro,wykres
creyó,Wierzył
adultos,Dorośli ludzie
wow,Wow
sobrino,siostrzeniec
secuencia,sekwencja
lleven,Brać
entradas,bilety
decirnos,Powiedz nam
resistencia,wytrzymałość
llamarlo,zawołaj go
ayudas,Pomoc
esperanzas,nadzieje
disponible,dostępny
civil,cywilny
caos,chaos
velas,świece
tenerlo,posiadać to
ponerle,umieścić
muestras,Próbki
lógica,logika
casualidad,szansa
sigamos,idźmy dalej
rayo,promień
pato,kaczka
pagado,płatny
máscara,maska
gustado,lubił
buscarte,szukać Cię
selva,dżungla
pm,po południu
equivoqué,myliłem się
condenado,skazany
cometido,zadanie
west,Zachód
travis,Travis
tratan,Traktują
pudimos,moglibyśmy
preguntando,pytając
tragedia,tragedia
poli,policjant
compañías,Firmy
charla,czat
mete,umieścić
malditas,Cholera
campos,Pola
cadáveres,zwłoki
básicamente,zasadniczo
vamonos,chodźmy
trucos,wydziwianie
preparada,przygotowany
funcionará,to będzie działać
conté,policzyłem
contando,rachunkowość
construcción,budowa
ciudadanos,Obywatele
agarrar,złapać
infeliz,nieszczęśliwy
francesa,Francuski
explica,Wyjaśnić
decide,Decydować
vende,sprzedać
rutina,rutyna
gustar,tak jak
empieces,Ty zaczynasz
caída,upuszczać
almorzar,jeść lunch
actividad,działalność
inocentes,niewinny
fondos,pieniądze
coraje,odwaga
ayudando,Agregat
aterrizar,lądować
actuación,wydajność
vietnam,Wietnam
suba,Suba
cynthia,Cynthia
ayudante,asystent
vuela,Latający
vaca,krowa
cirujano,chirurg
tio,wujek
olvídate,zapominać
okay,OK
entregar,dostarczać
encerrado,zablokowany
rubia,blond
kong,Kong
joyas,biżuteria
empecemos,Zacznijmy
buzz,Brzęczeć
amado,kochany
terminamos,skończone
romanos,Rzymianie
piedad,pobożność
llamarte,zadzwonię do ciebie
hacían,Oni zrobili
furia,wściekłość
detalle,Szczegół
admitir,przyznawać 
tendrías,Miałbyś
respiración,oddechowy
prepárate,Przygotuj się
escribiendo,pismo
confundido,zdezorientowany
vigilando,oglądanie
sufrimiento,cierpienie
saludos,pozdrowienia
robaste,ukradłeś
l,L
golpear,uderzyć
garaje,garaż
buscaré,poszukam
revolución,rewolucja
motel,motel
buscaba,szukałem
alianza,Sojusz
otto,Otto
estupidez,głupota
disparado,strzał
sangrando,wykrwawiać się
quietos,Nadal
miserable,nieszczęśliwy
ideal,ideał
empiezo,zaczynam
controla,kontrola
prometiste,Obiecałeś
heroína,heroina
empezado,Rozpoczęty
dámelo,daj mi to
vecindario,sąsiedztwo
empleado,pracownik
conociste,spotkałeś
colores,zabarwienie
cerebral,mózgowy
plástico,Plastikowy
piano,fortepian
pensamiento,myśl
lewis,Chwytak
letra,list
empleados,pracownicy
dosis,dawka
dólar,dolar
rifle,karabin
renunciar,poddać się
incluyendo,w tym
hoyo,otwór
español,hiszpański
acepta,akceptujesz
rueda,koło
municiones,amunicja
ciudades,miasta
béisbol,baseball
regresado,zwrócony
pediste,Zapytałeś
ja,ha
sesión,sesja
comprender,chwyt
tocando,wzruszające
montar,uchwyt
ma,mama
familiares,rodzina
espía,szpieg
efectos,efekty
salto,skok
pagó,płacić
impacto,uderzenie
emoción,emocja
disparos,strzały
comando,Komenda
autorización,upoważnienie
informes,Raporty
honestamente,Szczerze mówiąc
existencia,istnienie
demasiada,zbyt wiele
coches,samochody
clara,jasne
alcanzar,zasięg
volviste,Wróciłeś
octubre,Październik
g,G
conseguimos,Dostajemy
barato,tani
apostar,Zakład
requiere,wymaga
importan,Import
grano,ziarno
demasiados,za dużo
casarte,ożenić
tráeme,przynieś mi
rick,Stóg
progreso,postęp
odias,Nienawidzisz
ocurrir,zdarzać się
hacías,Zrobiłeś
serías,Byłbyś
secretario,sekretarz
rusia,Rosja
piénsalo,Pomyśl o tym
gatito,kotek
déme,daj mi
colección,kolekcja
vais,Ty idź
sufrido,cierpiał
ningun,Nic
harris,Harris
terror,terror
salva,Ratować
salgas,Ty wyjdź
sacarte,rozumiem cię
lanza,lanca
usó,używać
quince,piętnaście
prometido,narzeczony
preciso,dokładny
pirata,pirat
park,Park
moral,morał
moneda,waluta
kyle,Kyle
hare,zrobię
haberle,Posiadać
estuvieras,Ty byłeś
dijimos,powiedzieliśmy
cayendo,spadanie w dół
bajas,Niski
viniera,wszedł
soñando,dzwonienie
servirá,będzie służyć
moscú,Moskwa
mínimo,minimum
hermosas,Piękny
escondido,ukryty
demostrar,wykazać
perrito,szczeniak
jordan,Jordania
intente,Próbować
habrán,Tam będzie
experimento,eksperyment
espaldas,obrona
diseño,projekt
barra,bar
anciano,starzec
alfombra,dywan
actriz,aktorka
tono,ton
sentarse,czuć
remedio,zaradzić
listas,listy
gris,szary
enviaron,Wysłali
entendiste,Zrozumiałeś
disfrutar,Cieszyć się
contaré,Będę liczyć
comen,jeść
sentada,posiedzenie
pregunte,pytałem o
japonés,język japoński
gritos,Krzyki
dolares,Dolary
asegurarme,Upewnić się
restos,pozostaje
piper,Dudziarz
pierdo,przegrałem
motivos,powody
josh,Josh
dimos,Daliśmy
campeonato,mistrzostwo
apúrense,Zapisać się
unico,tylko
reír,śmiech
prima,kuzyn
maricón,pęk
actúa,Działać
periodista,dziennikarz
luchando,zmagający się
estelar,gwiezdny
escritor,pisarz
encontrarás,znajdziesz
dejando,Odjazd
adecuado,odpowiedni
terrorista,terrorysta
lady,Dama
hierro,żelazo
enterrado,pochowany
big,Duży
sincero,szczery
sharon,Sharon
representa,Reprezentuje
positivo,pozytywny
mereces,Zasługujesz
italia,Włochy
fea,brzydki
acerques,Aceros
petróleo,Ropa naftowa
encargado,odpowiedzialny
capítulo,rozdział
enseñaré,będę uczyć
cuentos,historie
breve,krótki
atreves,Odważyć się
súbete,wsiadać
sed,pragnienie
patético,żałosne
mostrarte,pokażę ci
doctores,Lekarze
carácter,postać
tuyos,twój
plaza,kwadrat
obispo,biskup
necesite,potrzebować
muevan,przenosić
involucrado,zaangażowany
frankie,Frankie
darán,Dadzą
robin,Rudzik
ingleses,język angielski
usas,Używasz
ruedas,koła
prácticamente,praktycznie
orejas,uszy
golpeó,uderzyć
costado,Stoisko z boku
conducta,prowadzić
toman,biorą
suban,w górę
médica,Medyczny
manzana,jabłko
jonathan,Jonathan
escuadrón,eskadra
reconozco,Rozpoznaję
ordenes,Zamówienia
gallina,kura
cambiando,Wymiana pieniędzy
borde,krawędź
ataques,ataki
actual,aktualny
víctor,Zwycięzca
polly,Polly
pecados,grzechy
invito,Zapraszam
inconsciente,nieświadomy
bastardos,Bastardowie
abrió,Otwierany
oyeron,Oni słyszeli
intentaba,próbowałem
cuartel,koszary
consciente,świadomy
tranquilízate,uspokoić się
suyos,jego
residencia,dom
máxima,maksymalny
llevarla,nieś to
grasa,tłuszcz
células,Komórki
retrocedan,Wracają
recepción,przyjęcie
medicinas,leki
explotar,cios
corona,korona
callate,bądź cicho
calidad,jakość
ayúdeme,Pomóż mi
asesina,morderczyni
absurdo,absurdalny
revés,odwracać
producto,produkt
nancy,Nancy
encontrarla,Znajdź to
dj,DJ
descansa,odpoczynek
copias,słyszysz mnie
apagar,wyłączyć
profesionales,Specjaliści
práctica,ćwiczyć
investigando,przeprowadzanie badań
francamente,szczerze mówiąc
afganistán,Afganistan
vecino,sąsiad
trozo,sztuka
tómate,pomidor
tercero,trzeci
sirven,porcja
saquen,Na wynos
manual,podręcznik
enciende,Włączyć coś
cercano,w pobliżu
bailando,taniec
atras,z powrotem
usarlo,Użyj tego
telefono,telefon
registros,dokumentacja
ponlo,Umieść to
pasta,makaron
lleguen,przyjechać
saliste,Czy wyszedłeś
sabrás,Będziesz wiedział
p,P
morgan,Morgan
limpieza,czyszczenie
estadounidense,NAS
enojada,zirytowany
desafortunadamente,Niestety
conoció,Spotkał
pinta,Pinta
matamos,Zabijamy
funcionan,czy oni pracują
cocinar,kucharz
cima,szczyt
atractivo,atrakcyjny
preguntes,ty pytasz
necesitaré,będę potrzebował
lleguemos,Zdobądźmy
interrumpir,przerywać
haberla,Posiadać
apropiado,odpowiedni
presentimiento,uczucie
intentamos,Próbujemy
finales,Egzaminy końcowe
evitarlo,Unikaj tego
enviaré,wyślę
deporte,sport
bajando,Zejście
sucia,brudny
recibimos,Otrzymaliśmy
pastillas,tabletki
ceremonia,ceremonia
tina,wanna
muelle,dok
maletas,walizki
k,k
hijas,córki
desconocido,Nieznajomy
conseguiré,wezmę
refugio,schronienie
imagina,wyobrażać sobie
franceses,Francuski
convertirse,stać się
arruinado,rozpieszczony
vomitar,wymiociny
pasajeros,pasażerowie
normales,normalna
disfraz,kostium
continúe,Kontynuować
arreglado,naprawione
aprende,Uczyć się
venimos,Przychodzimy
tenerte,mieć Ciebie
seguirá,pójdzie za nim
razonable,rozsądny
puesta,umieścić
masaje,masaż
lágrimas,łzy
gustaria,chciałby
extranjero,zagraniczny
dejaremos,Wyjdziemy
carlos,Carlos
apellido,nazwisko
alguacil,szeryf
tracy,Tracy
temporal,tymczasowy
rompe,Przerwa
mayo,Móc
egoísta,samolubny
aceite,olej
platos,dania
miércoles,Środa
indios,Hindusi
decimos,Mówimy
creasy,Zamężne
bolsas,Torby
anuncio,reklama
tirado,rzucony
notado,Odnotowany
mutantes,Mutanty
imaginas,Wyobrażasz sobie
habitaciones,sypialnie
grecia,Grecja
entré,między
díselo,Powiedz jej
césar,przerwać
stanley,Stanley
holly,Ostrokrzew
comprado,kupił
cocaína,kokaina
amarillo,żółty
acabará,To się skończy
suceda,zdarzyć
mentes,umysły
maldad,zło
gustará,będzie lubił
eliminar,wyeliminować
corbata,krawat
burke,Burke
atrapados,złapano
sabíamos,Wiedzieliśmy
merezco,zasługuję
medalla,medal
lograste,Osiągnąłeś
lionel,Lionel
jaula,klatka szybowa
dió,dał
chofer,kierowca
informado,powiadomiony
fox,Lis
fatal,fatalny
enfadado,zły
cubierto,pokryty
compañera,partner
ronda,okrągły
regina,Regina
cobra,kobra
cantante,piosenkarz
abrazo,uścisk
tarjetas,karty
sentarme,Usiądź
refería,Odniósł się
indica,wskazuje
gravedad,powaga
ganando,zwycięski
estúpidos,głupi
elecciones,wybory
collar,naszyjnik
cincuenta,pięćdziesiąt
programas,programy
naturalmente,naturalnie
embajada,ambasada
desayunar,zjeść śniadanie
dejaría,Odszedłbym
vigila,Oglądać
quisieras,Chciałbyś
intereses,zainteresowania
agárrate,trzymać się
aéreo,antenowy
traición,zdrada
seguiré,będę kontynuował
salvajes,dziki
prefiere,preferuje
podéis,możesz
noel,kolęda
mueres,Umrzesz
molestar,denerwować
italiano,Włoski
dejarla,zostaw to
corazones,kiery
averiguarlo,Dowiadywać się
ave,ptak
arreglarlo,napraw to
advierto,ostrzegam
vendiendo,sprzedawanie
pública,publiczny
newman,Nowego człowieka
monje,mnich
jugamos,Zagrajmy
hablarme,Mów do mnie
escoger,wybierać
andas,idziesz
ví,piła
teddy,Miś
pico,dziób
llevé,Zaniosłem
entro,wchodzę
tenias,Miałeś
priorato,klasztor
perdemos,Przegrywamy
industria,przemysł
cretino,kretyn
cafetería,kawiarnia
cabaña,kabina
aparecer,pojawić się
tradición,tradycja
suelto,luźny
publicidad,reklama
pares,rówieśnicy
oídos,uszy
medida,zakres
japoneses,język japoński
hitler,Hitler
dieta,dieta
capa,warstwa
vendrás,Ty przyjdziesz
sincronizado,zsynchronizowane
neil,Neil
historial,nagrywać
guión,scenariusz
enano,krasnolud
devolver,powrót
solitario,samotny
misiles,pociski
hall,hala
desnuda,nagi
bridget,Bridget
brad,Ćwiek
vaquero,kowboj
únicos,unikalny
trasera,tył
sano,zdrowy
piezas,Części
liga,liga
gerente,menedżer
cindy,Cindy
caridad,organizacja pożytku publicznego
armados,uzbrojony
trajeron,Przynieśli
religión,religia
jon,Jon
fotografías,Zdjęcia
sentirse,czuć
rezar,modlić się
protege,chroni
preparen,Przygotowywać
niñera,opiekunka dziecięca
naranja,Pomarańczowy
matarnos,Zabij nas
jugada,przenosić
gandalf,Gandalf
espérame,zaczekaj na mnie
enseñarte,uczyć cię
cohete,rakieta
tanques,czołgi
sombras,odcienie
moverse,przenosić
llegara,zasięg
cortó,krótki
cierren,zamknąć
volverán,Oni powrócą
usamos,Używamy
sabremos,Będziemy wiedzieć
potter,Garncarz
maletín,aktówka
lenguaje,język
jenna,Jenna
invitación,zaproszenie
cambian,Zmieniają się
rehenes,zakładnicy
margaret,Małgorzata
freddy,Freddy
encontremos,znajdźmy
descubrí,Odkryłam
audiencia,publiczność
agenda,dziennik
wallace,Wallace
sígueme,Chodź za mną
sensible,wrażliwy
sammy,Sammy
reverendo,czcigodny
queréis,Chcesz
dex,Dex
cazar,polowanie
bodas,ślub
seguiremos,pójdzie za nim
rosas,Rosas
retiro,wycofanie
primeras,Pierwszy
poderosa,potężny
matthew,Mateusz
deberia,powinien
cantando,śpiewanie
antiguos,starożytny
teme,Strach
smallville,Smallville
síganme,chodź za mną
moviendo,poruszający
juventud,młodzież
equivocas,zło
trabajadores,pracownicy
seguí,kontynuowałem
salvaste,Uratowałeś
pulmones,płuca
payaso,błazen
oírlo,Usłysz to
fama,sława
engaño,oszustwo
distrito,dzielnica
disculparme,Przepraszam
davis,Davis
ciudadano,obywatel
robando,kradzież
equipaje,bagaż
ciencias,nauki
ubicación,Lokalizacja
federales,federalny
tratamos,Traktujemy
ofrece,oferuje
of,Z
junio,Czerwiec
extremadamente,niezwykle
actuando,gra aktorska
traducción,tłumaczenie
supiste,Wiedziałaś
sacarlo,usunąć to
preparando,przygotowanie
mei,Mei
letras,listy
típico,typowy
reserva,rezerwować
propuesta,wniosek
plataforma,platforma
mago,magik
linea,linia
hank,Motek
dude,wahać się
busque,szukałem
tabaco,tytoń
principios,początek
lou,Lou
dormida,we śnie
costó,koszt
causar,przyczyna
temer,strach
subiendo,w górę
rollo,rolka
ns,ns
hechizo,zaklęcie
gusano,robak
guau,Wow
grupos,grupy
discos,dyski
despierte,Budzić się
st,St
ocurriendo,wydarzenie
horario,harmonogram
expedientes,akta
envié,wysłałem
dibujos,rysunki
concurso,konkurs
colt,źrebię
autopista,Autostrada
atacó,zaatakowany
vendedor,sprzedawca
sigas,Podążać
rebeldes,Rebelianci
radar,Radar
madame,Pani
expresión,wyrażenie
escuchan,oni słuchają
carla,Carla
use,Używać
resultó,okazało się
principe,Książę
hágalo,Zrób to
greg,Greg
exposición,narażenie
demasiadas,za dużo
cuidando,dbanie o
aterrizaje,lądowanie
apetece,Chcesz
tomaron,Wzięli
sorprendente,niesamowity
responda,Odpowiedź
olvidaste,Zapomniałeś
lobos,Wilki
echado,kłamliwy
deberias,powinieneś
cortado,porąbane
citas,cytaty
abiertos,otwarty
zapato,but
preso,więzień
lastimar,zraniony
explosivos,Materiały wybuchowe
colegas,współpracownicy
telly,Telewizja
supieras,Wiedziałaś
secretaria,Sekretarz
queridos,Droga
morirás,Umrzesz
mickey,Mickey
cuero,skóra
confesión,wyznanie
círculo,koło
sabéis,Wiesz
química,chemia
obras,gra
llores,płakać
juegas,ty grasz
invisible,niewidzialny
fase,faza
esconde,ukrywać
capitan,kapitan
adulto,dorosły
vacía,pusty
siéntense,Siedzieć
pastor,Pasterz
llegada,przyjazd
jesse,Jesse
gatillo,spust
debamos,musimy
teléfonos,telefony
saqué,Wyjąłem
regresará,powrót
olvidaré,zapomnę
lucas,Łukasz
límites,granice
jovencita,Młoda dziewczyna
hong,Hong
dibujo,rysunek
británico,brytyjski
balboa,Balboa
psiquiatra,psychiatra
objetos,obiekty
negociar,negocjować
hill,WZGÓRZE
formar,kształtować
fiel,wierny
diosa,bogini
descubrió,odkryty
ala,do
abril,Kwiecień
saldré,wyjdę
mías,kopalnia
disfruta,Cieszyć się
atender,brać udział
tomaremos,Weźmiemy
samantha,Samantha
rosie,Rosie
oreja,ucho
necesitaremos,Będziemy potrzebować
motores,silniki
intenciones,intencje
hannah,Hanna
cumplido,komplement
brindis,toast
villa,miasto
trono,tron
traen,Oni przynoszą
thunderbird,Thunderbird
sentados,posiedzenie
samurai,samuraj
salía,Wyszło
raras,Rzadki
producción,produkcja
medias,skarpety
lavar,myć się
jazz,jazz
extraordinario,nadzwyczajny
causado,spowodowany
angie,Angie
serpientes,Węże
revisa,wymeldować się
quedate,zostawać
nervios,nerwowość
estable,stabilny
cerdos,wieprzowy
riesgos,Ryzyko
pasaste,Zdałeś
michelle,Michelle
madres,Matki
instinto,instynkt
episodio,epizod
empezaron,Zaczęli
aniversario,rocznica
angela,Angela
anderson,Anderson
viera,Viera
viajes,wycieczki
trabajé,pracowałem
rango,zakres
preocupación,martwić się
métete,Dostawać
imaginé,wyobraziłem sobie
hayamos,mamy
fenómeno,dziwak
dolores,Dolores
demanda,popyt
damien,Damien
creó,uważać
asegurar,zapewnić
pesadillas,koszmary
niega,zaprzecza
molestia,niedogodność
kirk,Kościół
extremo,skrajny
debilidad,słabość
compasión,współczucie
camiones,samochody ciężarowe
aproximadamente,około
afecta,to wpływa
administración,administracja
reconocimiento,uznanie
recientemente,Ostatnio
practicar,ćwiczyć
pierdas,przegrałeś
pandilla,banda
miss,Chybić
mates,matematyka
disparando,strzelanie do góry
británicos,brytyjski
ayudarlos,Pomóc im
abby,Abby
sueldo,wynagrodzenie
